ID,comuna,nombre residencia,direccion,rating,website,telefono,latitud,longitud,imagen_1,imagen_2,imagen_3,palabras clave,busqueda texto,correo,facebook,instagram,cant reseñas,ciudad,precio,place_id,tipo,servicios,logo,tipo personal,region,disponibilidad,descripcion,video promocional,Created,Updated
553,Lebu,Hogar de Ancianos San Francisco de Asis de Lebu,"Joaquin Perez 714, Lebu, Bío Bío ",4,,,-37.6105785,-73.6571565,https://senioradvisor.cl/fotos/biobio/31.jpg,https://senioradvisor.cl/fotos/biobio/31-2.jpg,https://senioradvisor.cl/fotos/biobio/31-3.jpg,,,,,,,Lebu,,ChIJR6_rc5_wQZYRbfOhAvIWKew,,,,,Biobío,,,,2025-12-29T03:54:56.560Z,2025-12-29T03:54:56.560Z
552,Los Ángeles,Fundación de Beneficencia Hogar de Cristo,"Las Azaleas 480, 4440798 Los Angeles, Los Ángeles, Bío Bío ",4.9,,+56432321821,-37.4691621,-72.3665192,https://senioradvisor.cl/fotos/biobio/30.jpg,https://senioradvisor.cl/fotos/biobio/30-2.jpg,https://senioradvisor.cl/fotos/biobio/30-3.jpg,"Aire acondicionado, Terapia ocupacional, ","Aire acondicionado, Terapia ocupacional, ",,,,,Los Ángeles,,ChIJX7vO1Trda5YRrBwCk7wdlxk,,"Aire acondicionado, Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.559Z,2025-12-29T03:54:56.559Z
551,Los Ángeles,"Hogar de Ancianos Pequeño Cottolengo, Don Orione.","Nestor del Rio 500, Los Angeles, Los Ángeles, Bío Bío ",5,https://donorione.cl,+56432362164,-37.558187,-72.5471197,https://senioradvisor.cl/fotos/biobio/29.jpg,https://senioradvisor.cl/fotos/biobio/29-2.jpg,https://senioradvisor.cl/fotos/biobio/29-3.jpg,"Aire acondicionado, Asistencia espiritual o religiosa, Terapia ocupacional, ","Aire acondicionado, Asistencia espiritual o religiosa, Terapia ocupacional, ",,https://www.facebook.com/orionito/,https://instagram.com/la.contrasena,,Los Ángeles,,ChIJO2R73Ejda5YR4B30aJAkU7k,,"Aire acondicionado, Asistencia espiritual o religiosa, Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.558Z,2025-12-29T03:54:56.558Z
550,Los Ángeles,Residencia Los Robles,"Balmaceda 135, Los Angeles, Los Ángeles, Bío Bío ",4.8,https://losroblesresidencia.cl,+56432211939,-37.4747965,-72.339974,https://senioradvisor.cl/fotos/biobio/28.jpg,https://senioradvisor.cl/fotos/biobio/28-2.jpg,https://senioradvisor.cl/fotos/biobio/28-3.jpg,"Aire acondicionado, Atencion de enfermeria, Estacionamiento, Fisioterapia, Manejo de medicamentos, Sala de estar, Terapia ocupacional, ","Aire acondicionado, Atencion de enfermeria, Estacionamiento, Fisioterapia, Manejo de medicamentos, Sala de estar, Terapia ocupacional, ",contacto@losroblesresidencia.cl,https://www.facebook.com/residencialosrobles,https://www.instagram.com/reel/DD5lRAms9zO/?utm_source=ig_embed&utm_campaign=loading,,Los Ángeles,,ChIJYzLsAVPda5YRhaWs5CNzf0s,,"Aire acondicionado, Atencion de enfermeria, Estacionamiento, Fisioterapia, Manejo de medicamentos, Sala de estar, Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.557Z,2025-12-29T03:54:56.557Z
549,Los Ángeles,Jardines de San Juan,"Los Angeles, Los Ángeles, Bío Bío ",5,https://jardinesdesanjuan.cl,+56432657875,-37.4270581,-72.3236601,https://senioradvisor.cl/fotos/biobio/27.jpg,https://senioradvisor.cl/fotos/biobio/27-2.jpg,https://senioradvisor.cl/fotos/biobio/27-3.jpg,"Aire acondicionado, Atencion de enfermeria, Habitacion individual, Monitor de actividad para residentes, Sala de estar, Terapia ocupacional, ","Aire acondicionado, Atencion de enfermeria, Habitacion individual, Monitor de actividad para residentes, Sala de estar, Terapia ocupacional, ",,https://www.facebook.com/share/z83ZA4P7xyFgiBUG,https://www.instagram.com/jardinesdesanjuan_/?igsh=MWhvN2w3ZTgwcWYxaQ%3D%3D,,Los Ángeles,1.350.000,ChIJMQIJ6nvna5YRf6eKBEsT76M,,"Aire acondicionado, Atencion de enfermeria, Habitacion individual, Monitor de actividad para residentes, Sala de estar, Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.553Z,2025-12-29T03:54:56.553Z
548,Los Ángeles,La Rosita Residencial,"Ramiro Segura 1774, 4440000 Los Angeles, Los Ángeles, Bío Bío ",5,,+56994155245,-37.4546682,-72.3422858,https://senioradvisor.cl/fotos/biobio/26.jpg,https://senioradvisor.cl/fotos/biobio/26-2.jpg,https://senioradvisor.cl/fotos/biobio/26-3.jpg,,,,,,,Los Ángeles,,ChIJR60Kz7_da5YRzaVN2X7b4i4,,,,,Biobío,,,,2025-12-29T03:54:56.552Z,2025-12-29T03:54:56.552Z
547,Tomé,Hogar Villa Nazareth,"Collen 225, Tomé, Bío Bío ",4.5,https://hogarvillanazareth.cl,+56959730057,-36.6180691,-72.9312722,https://senioradvisor.cl/fotos/biobio/25.jpg,https://senioradvisor.cl/fotos/biobio/25-2.jpg,https://senioradvisor.cl/fotos/biobio/25-3.jpg,"Aire acondicionado, Atencion de enfermeria, Monitor de actividad para residentes, Servicio de alimentacion, Terapia ocupacional, ","Aire acondicionado, Atencion de enfermeria, Monitor de actividad para residentes, Servicio de alimentacion, Terapia ocupacional, ",contacto@hogarvillanazareth.cl,https://www.facebook.com/profile.php?id=100068113357020,,,Tomé,,ChIJlVl-uv1PaJYRIaEIsRRaL7A,,"Aire acondicionado, Atencion de enfermeria, Monitor de actividad para residentes, Servicio de alimentacion, Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.551Z,2025-12-29T03:54:56.551Z
546,Coronel,Corporación Cristo Viene,"4190124 Coronel, Bío Bío ",5,,,-36.9936644,-73.168861,https://senioradvisor.cl/fotos/biobio/24.jpg,https://senioradvisor.cl/fotos/biobio/24-2.jpg,https://senioradvisor.cl/fotos/biobio/24-3.jpg,"Aire acondicionado, Terapia ocupacional, ","Aire acondicionado, Terapia ocupacional, ",,,,,Coronel,,ChIJq9et43HHaZYRYff2PQ5g1WQ,,"Aire acondicionado, Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.550Z,2025-12-29T03:54:56.550Z
545,Chiguayante,Eleam La Sagrada Familia,"Progreso 351-399, Chiguayante, Bío Bío ",5,,+56412353507,-36.9377554,-73.0265411,https://senioradvisor.cl/fotos/biobio/23.jpg,https://senioradvisor.cl/fotos/biobio/23-2.jpg,https://senioradvisor.cl/fotos/biobio/23-3.jpg,,,,,,,Chiguayante,,ChIJ0ScpRbi5aZYR5HRETUUdAUk,,,,,Biobío,,,,2025-12-29T03:54:56.549Z,2025-12-29T03:54:56.549Z
544,Talcahuano,Centro Diurno de la Persona Mayor,"Sgto. Aldea 290, 4271562 Talcahuano, Bío Bío ",5,,,-36.7151237,-73.1140979,https://senioradvisor.cl/fotos/biobio/22.jpg,https://senioradvisor.cl/fotos/biobio/22-2.jpg,https://senioradvisor.cl/fotos/biobio/22-3.jpg,,,,,,,Talcahuano,,ChIJJaJ-WwA1aJYRUNXnKm3tSh0,,,,,Biobío,,,,2025-12-29T03:54:56.547Z,2025-12-29T03:54:56.547Z
543,Talcahuano,Centro Almae,"Balmaceda 463, 4270514 Talcahuano, Bío Bío ",5,https://centroalmae.cl,+56961929207,-36.7249771,-73.1135344,https://senioradvisor.cl/fotos/biobio/21.jpg,https://senioradvisor.cl/fotos/biobio/21-2.jpg,https://senioradvisor.cl/fotos/biobio/21-3.jpg,"Terapia ocupacional, ","Terapia ocupacional, ",,,,,Talcahuano,,ChIJ9wAiyQU1aJYR_EqGa-o19Yg,,"Terapia ocupacional, ",,,Biobío,,,,2025-12-29T03:54:56.545Z,2025-12-29T03:54:56.545Z
542,Concepción,"Centro diurno ""CASA KÜMELEN""","Patricio lynch 354 Por cambio de numeración actualmente es N°346, 4030000 Concepción, Bío Bío ",4.8,,+56942518976,-36.809925,-73.0326182,https://senioradvisor.cl/fotos/biobio/20.jpg,https://senioradvisor.cl/fotos/biobio/20-2.jpg,https://senioradvisor.cl/fotos/biobio/20-3.jpg,,,,,,,Concepción,,ChIJz6pBU5W1aZYRq-tpuj2KI0E,,,,,Biobío,,,,2025-12-29T03:54:56.542Z,2025-12-29T03:54:56.542Z
541,Talcahuano,CASA DE REPOSO LOLYTA,"Parque Araucaria 440, 4271123 Talcahuano, Bío Bío ",4.2,,,-36.7448419,-73.1092057,https://senioradvisor.cl/fotos/biobio/19.jpg,https://senioradvisor.cl/fotos/biobio/19-2.jpg,https://senioradvisor.cl/fotos/biobio/19-3.jpg,,,,,,,Talcahuano,,ChIJzdZOFDI1aJYRGbEm5-OGQrw,,,,,Biobío,,,,2025-12-29T03:54:56.542Z,2025-12-29T03:54:56.542Z
540,Coronel,casa de reposo los sauces,"San José de Palco, Coronel, Bío Bío ",4.4,,,-36.9779198,-73.0155918,https://senioradvisor.cl/fotos/biobio/18.jpg,https://senioradvisor.cl/fotos/biobio/18-2.jpg,https://senioradvisor.cl/fotos/biobio/18-3.jpg,,,,,,,Coronel,,ChIJC9aph5m5aZYRjJZZwNfmRpM,,,,,Biobío,,,,2025-12-29T03:54:56.534Z,2025-12-29T03:54:56.534Z
539,Concepción,Residencia Carolina Concepción,"Juan Martínez de Rozas 270, 4030000 Concepción, Bío Bío ",5,,,-36.8236499,-73.0587245,https://senioradvisor.cl/fotos/biobio/17.jpg,https://senioradvisor.cl/fotos/biobio/17-2.jpg,https://senioradvisor.cl/fotos/biobio/17-3.jpg,"Servicio de alimentacion, ","Servicio de alimentacion, ",,,,,Concepción,,ChIJobC10X61aZYRhrWSh7mCPhs,,"Servicio de alimentacion, ",,,Biobío,,,,2025-12-29T03:54:56.533Z,2025-12-29T03:54:56.533Z
538,Chiguayante,Residencia Santa Sofía,"Manantiales 137, 4100193 Chiguayante, Bío Bío ",5,,+56932423524,-36.9001923,-73.0277642,https://senioradvisor.cl/fotos/biobio/16.jpg,https://senioradvisor.cl/fotos/biobio/16-2.jpg,https://senioradvisor.cl/fotos/biobio/16-3.jpg,,,,,,,Chiguayante,,ChIJhSChI_-3aZYRB6L7JB-_rdQ,,,,,Biobío,,,,2025-12-29T03:54:56.532Z,2025-12-29T03:54:56.532Z
537,Concepción,Casa de Reposo Fundacion Guillermo Barberis,"Avenida Ignacio Collao 987, 4050076 Concepción, Bío Bío ",3.8,,+56961327142,-36.8191593,-73.0174524,https://senioradvisor.cl/fotos/biobio/15.jpg,https://senioradvisor.cl/fotos/biobio/15-2.jpg,https://senioradvisor.cl/fotos/biobio/15-3.jpg,"Aire acondicionado, ","Aire acondicionado, ",,,,,Concepción,,ChIJzUf5UD20aZYReTS4GZODTek,,"Aire acondicionado, ",,,Biobío,,,,2025-12-29T03:54:56.531Z,2025-12-29T03:54:56.531Z
536,Concepción,Santa Verónica,"Obispo Hipólito Salas 254, 4070269 Concepción, Bío Bío ",3,,+56412799176,-36.8313298,-73.0545019,https://senioradvisor.cl/fotos/biobio/14.jpg,https://senioradvisor.cl/fotos/biobio/14-2.jpg,https://senioradvisor.cl/fotos/biobio/14-3.jpg,,,,,,,Concepción,950.000,ChIJgw7pzU21aZYR9G986gCBIVs,,,,,Biobío,,,,2025-12-29T03:54:56.530Z,2025-12-29T03:54:56.530Z
535,Concepción,Residencia Para Mayores Del Valle,"Av. Francesa 148, 4040385 Concepción, Bío Bío ",4.6,,+56957242246,-36.8451087,-73.0501751,https://senioradvisor.cl/fotos/biobio/13.jpg,https://senioradvisor.cl/fotos/biobio/13-2.jpg,https://senioradvisor.cl/fotos/biobio/13-3.jpg,,,,,,,Concepción,,ChIJmYnorjG3aZYR5WByx4bQSYA,,,,,Biobío,,,,2025-12-29T03:54:56.529Z,2025-12-29T03:54:56.529Z
534,Concepción,ELEAM Las Violetas,"Las Violetas 25, 4050058 Concepción, Bío Bío ",5,,,-36.8348743,-73.0014042,https://senioradvisor.cl/fotos/biobio/12.jpg,https://senioradvisor.cl/fotos/biobio/12-2.jpg,https://senioradvisor.cl/fotos/biobio/12-3.jpg,,,,,,,Concepción,,ChIJaUvG7662aZYR5dm2qt32PT4,,,,,Biobío,,,,2025-12-29T03:54:56.528Z,2025-12-29T03:54:56.528Z
